#Energy 	 levels_created [this bin] 	 levels_model [MeV^-1] 	 levels_model_from_tot [MeV^-1]
7.63272	33436	2.05055e+06	2.04861e+06
7.64904	34530	2.10736e+06	2.10537e+06
7.66536	35511	2.16417e+06	2.16213e+06
7.68169	36233	2.22495e+06	2.22285e+06
7.69801	37233	2.28655e+06	2.2844e+06
7.71433	38314	2.34815e+06	2.34594e+06
7.73066	39455	2.41419e+06	2.41192e+06
7.74698	40284	2.48097e+06	2.47865e+06
7.76331	41723	2.54776e+06	2.54538e+06
7.77963	42660	2.61951e+06	2.61707e+06
7.79595	43839	2.69193e+06	2.68942e+06
7.81228	44948	2.76434e+06	2.76177e+06
7.8286	46372	2.8423e+06	2.83966e+06
7.84492	47408	2.92082e+06	2.91811e+06
7.86125	49012	2.99933e+06	2.99655e+06
7.87757	50247	3.08404e+06	3.08118e+06
7.8939	51663	3.16917e+06	3.16624e+06
7.91022	53081	3.2543e+06	3.25129e+06
7.92654	54487	3.34634e+06	3.34325e+06
7.94287	56201	3.43864e+06	3.43547e+06
7.95919	57568	3.53094e+06	3.52769e+06
7.97551	59089	3.63094e+06	3.6276e+06
7.99184	60695	3.73101e+06	3.72759e+06
