# E fE1+fM1 fE1 fM1
9.246231155778895427e+00 4.130523225752333774e-07 4.130085439738374050e-07 4.377860139598249693e-11
9.296482412060301570e+00 4.230002593573096810e-07 4.229572811552218121e-07 4.297820208784765291e-11
9.346733668341709489e+00 4.331918111002211846e-07 4.331496133860040412e-07 4.219771421711859884e-11
9.396984924623115631e+00 4.436325871636960225e-07 4.435911506555605735e-07 4.143650813545598384e-11
9.447236180904523550e+00 4.543288587486594994e-07 4.542881647702520945e-07 4.069397840741719903e-11
9.497487437185929693e+00 4.652876522033169302e-07 4.652476826606037180e-07 3.996954271319976340e-11
9.547738693467337612e+00 4.765168485198052029e-07 4.764775858789965992e-07 3.926264080862322345e-11
9.597989949748743754e+00 4.880252881624494479e-07 4.879867154289104978e-07 3.857273353897484424e-11
9.648241206030151673e+00 4.998228801124144572e-07 4.997849808105109034e-07 3.789930190356507792e-11
9.698492462311557816e+00 5.119207137382554803e-07 5.118834718920874699e-07 3.724184616804558472e-11
9.748743718592965735e+00 5.243311718104134863e-07 5.242945719253917564e-07 3.659988502173255481e-11
9.798994974874371877e+00 5.370680426729896156e-07 5.370320697182122323e-07 3.597295477735625310e-11
9.849246231155779796e+00 5.501466292713266630e-07 5.501112686627158659e-07 3.536060861082157453e-11
9.899497487437185939e+00 5.635838524116955648e-07 5.635490899958568127e-07 3.476241583871851827e-11
9.949748743718593857e+00 5.773983453020827604e-07 5.773641673408512506e-07 3.417796123146290450e-11
1.000000000000000000e+01 5.916105360920088220e-07 5.915769292476487544e-07 3.360684436008135732e-11
